Brand,Line,Recipie,Brand Name/Line /Recipe and Recipe,Life Stage,Store,Cost per cup,Cups Required 44lb less active,First Ingredients
,,,Stella's Essentials Wholesome Grains Grass-Fed Beef & Ancient Grains,Adult  ,,$0.71,,"Beef, lamb meal, pearled barley, oatmeal, brown rice, pork meal, beef fat (preserved with mixed tocopherols), natural vegetable flavor, beef liver, millet, quinoa, flaxseed, calcium carbonate, salt"
,,,Stella's Essentials Wholesome Grains Small Breed Chicken,Adult SB,,$1.02,,
,,,Stella's Raw Coated  Wholesome Grains Beef Small Breed,Adult SB,,$1.02,,
,,,Stella's Essentals Wholesome Grains Gage-Free Chicken & Ancient Grains Recipe,Adult  ,,$0.70,,
,,,"Stella's Essentials Wholesome Grains Wild Caught Whitefish, Salmon & Ancient Grains",Adult  ,,,,
,,,Stella's Essentials Grain-Free Beef & Lentils,Adult  ,,$0.73,,
,,,Stellas Essentials Grain-Free Chicken & Lentils,Adult  ,,$0.73,,
,,,Stella's Essentials Grain-Free Duck & Lentils Recipe,Adult  ,,$0.72,,
,,,Stellas Essentials Grain-Free Lamb  & Lentils Recipe,Adult  ,,$0.73,,
,,,Taste of the Wild,,,,,
,,,Appalachian Valley Small Breed Canine Formula Venison & Garbanzo Beans,Adult SB,,$0.42,0.75,"Duck, duck meal, chicken meal, sweet potatoes, peas, potatoes, chicken fat (preserved with mixed tocopherols), egg product, natural flavor, ocean fish meal,"
,,,Wetlands Canine Formula with Wild Fowl,Adult  ,,$0.78,2.25,"Duck, duck meal, chicken meal, grain sorghum, millet, dried yeast, cracked pearled barley, chicken fat (preserved with mixed tocopherols), egg product, natural flavor, roasted quail, roasted duck, smoked turkey, quinoa, chia seed, tomato pomace, salmon oil (a source of DHA), salt, potassium chloride, DL-Methionine, choline chloride, taurine, dried chicory root, tomatoes, blueberries, raspberries, yucca schidigera extract, L-Carnitine, dried Lactobacillus plantarum fermentation product, dried Bacillus subtilis fermentation product, dried Lactobacillus acidop"
,,,Pacific Stream Canine Formula with Smoked Salmon,Adult  ,,$0.68,2.25,"Salmon, ocean fish meal, sweet potatoes, potatoes, peas, canola oil, lentils, salmon meal, smoked salmon, potato fiber, natural flavor, salt, choline chloride, taurine, dried chicory root, tomatoes, blueberries, raspberries, yucca schidigera extract, dried Lactobacillus plantarum fermentation product, dried Bacillus subtilis fermentation product, dried Lactobacillus acidophilus fermentation product, dried Enterococcus faecium fermentation product, dried Bifidobac"
,,,Sierra Mountain Canine Formula with Roasted Lamb,Adult  ,,$0.74,2.8,"Lamb, lamb meal, sweet potatoes, potatoes, peas, egg product, canola oil, roasted lamb, tomato pomace, natural flavor, salmon oil (a source of DHA), salt, choline chloride, mixed tocopherols (a preservative), dried chicory root, taurine, tomatoes, blueberries, raspberries, yucca schidigera extract, dried Lactobacillus acidophilus fermentation product, dried Bifidobacterium animalis fermentation product, dried Lactobacillus reuteri fermentation product, vitamin E supplement, iron proteinate, zinc proteinate, copper proteinate, ferrous sulfate, zinc sulfate, copper sulfate, potassium iodide, thiamine mononitrate (vitamin B1), manganese proteinate, manganous oxide, ascorbic acid, vitamin A supplement, biotin, niacin, calcium pantothenate, manganese sulfate, sodium selenite, pyridoxine hydrochloride (vitamin B6), vitamin B12 supplement, riboflavin (vitamin B2), vitamin D supplement, folic acid."
,,,Canine Formula Taste of the Wild,Adult  ,,$0.68,2.46,"Buffalo, Lamb Meal, Chicken Meal, Sweet Potatoes, Peas, Potatoes, Chicken Fat (Preserved With Mixed Tocopherols), Egg Product, Roasted Bison, Roasted Venison, Beef, Natural Flavor, Tomato Pomace, Potato Protein, Pea Protein, Ocean Fish Meal, Salt, Choline Chloride, Taurine, Dried Chicory Root, Tomatoes, Blueberries, Raspberries, Yucca Schidigera Extract, Dried Lactobacillus Plantarum Fermentation Product, Dried Bacillus Subtilis Fermentation Product, Dried Lactobacillus Acidophilus Fermentati"
,,,TLC Pet Food,,,,,"lamb meal, chicken meal, oatmeal, chicken, whole barley, whole brown rice..."
,,,TLC Whole Life Dog Food,Adult  ,,$0.66,2.25,"lamb meal, chicken meal, chicken, whole brown rice, chicken fat, green peas, oatmeal..."
,,,TLC Puppy Food,Puppy,,$0.66,1.5,
,,,Valens,,,,,
,,,Fisher,Adult  ,,$0.95,1.5,"Fresh pacific salmon, fresh pacific cod, salmon meal, ocean whitefish meal, peas, sweet potatoes, Pacific Cod Vita Cube, flaxseed, salmon oil (preserved with mixed tocopherols and citric acid), tomato pomace, natural flavour, cod liver, salt, calcium carbonate, yeast culture, dried Saccharomyces cerevisiae fermentation extract, c"
,,,Farmer,Adult  ,,$0.95,1.5,"Fresh deboned chicken, fresh deboned turkey, chicken meal, turkey meal, chicken liver, turkey liver, peas, sweet potatoes, Chicken Vita Cube, flaxseed, chicken fat (preserved with mixed tocopherols and citric acid), tomato pomace, pea protein, natural flavour, cod liver, salt, yeast culture, dried Saccharomyces cerevisiae fermentation extract, chicory root extract, potassium chloride, kelp meal, L-carnitine, blueberries, carob, cranberries, ginger"
,,,Pasture,Adult  ,,$0.95,1.5,"Fresh deboned lamb, fresh deboned beef, fresh deboned boar, fresh deboned bison, lamb meal, porcine meal, lamb liver, beef liver, boar liver, peas, sweet potatoes, pea protein, Lamb Liver Vita Cube, flaxseed, porcine fat (preserved with mixed tocopherols and citric acid), natural flavour, dicalcium phosphate, tomato pomace, cod liver, calcium carbonate, salt, yeast culture, potassium chloride, dried Saccharomyces cerevisiae fermentation extract, choline "
,,,Small Breed,Adult SB,,$0.98,0.67,"Fresh deboned turkey, fresh deboned salmon, turkey meal, salmon meal, turkey liver, peas, sweet potatoes, Pacific Cod Vita Cube, flaxseed, chicken fat (preserved with mixed tocopherols and citric acid), tomato pomace, pea protein, natural flavour, cod liver, salt, yeast culture, dried Saccharomyces cerevisiae fermentation extract, chicory root extract, potassium chloride, kelp meal, L-carnitine, blueberries, carob, cranberries, ginger root, apples, dried Lactobacillus fermentation extract, yeast extract, elderberries extract, rosemary extract, thyme extract, Yucca Schidigera extract, carrots, spinach, pumpkins, dehydrated Lactobacillus acidophilus fermentation product, dehydrated Lactobacillus case"
,,,Wellness,,,,,
,,,Complete Health Chicken and Oatmeal,Adult  ,,$0.82,,"Deboned Chicken, Chicken Meal, Oatmeal, Ground Barley, Peas, Ground Brown Rice, Chicken Fat, Tomato Pomace, Ground Flaxseed, Tomatoes, Carrots, Natural Chicken Flavor, Potassium Chloride, Choline Chloride, Spinach,"
,,,Complete lamb and barley,Adult  ,,$0.76,2.33,"Lamb, Lamb Meal, Oatmeal, Ground Barley, Menhaden Fish Meal, Ground Brown Rice, Peas, Rice, Ground Flaxseed, Chicken Fat, Tomato Pomace, Tomatoes,"
,,,Complete Health Small Breed Turkey & Oatmeal,Adult SB,,$1.15,,"Deboned Turkey, Chicken Meal, Salmon Meal, Oatmeal, Ground Brown Rice, Barley, Chicken Fat (preserved with Mixed Tocopherols), Oats, Tomato Pomace, Tomatoes, Pea Fiber,"
,,,Complete Health Toy Breed Adult,Adult SB,Petvalu,,,"Deboned Chicken, Chicken Meal, Turkey Meal, Ground Brown Rice, Rice, Oatmeal, Chicken Fat (preserved with Mixed Tocopherols), Peas,"
,,,"Complete Health Small Breed Whitefish, Salmon Meal & Peas",Adult SB,,,,"Whitefish, Salmon Meal, Menhaden Fish Meal, Oatmeal, Ground Brown Rice, Barley, Ground Rice, Peas, Canola Oil (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed, Oats, Tomatoes, Pea Fiber, "
,,,Complete Health Small Breed Senior,Senior SB,,,,"Deboned Turkey, Chicken Meal, Ground Brown Rice, Peas, Rice, Oats, Chicken Fat (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed, Tomatoes, Pea Fiber"
,,,Complete Health Small Breed Healthy Weight,Adult SB,Petvalu,,,"Deboned Turkey, Chicken Meal, Salmon Meal, Oatmeal, Rice, Barley, Ground Brown Rice, Oats, Tomato Pomace, Ground Flaxseed, Chicken Fat (preserved with Mixed Tocopherols), Tomatoes, Pea Fiber, "
,,,Complete Chicken & Brown Rice Large Breed,Adult SB,,$0.68,,"Deboned Chicken, Chicken Meal, Ground Brown Rice, Barley, Peas, Oats, Chicken Fat (preserved with Mixed Tocopherols), Salmon Meal, Tomato Pomace, Oatmeal, Tomatoes, Carrots, Natural Chicken Flavor, Ground Flaxseed,"
,,,Core Six Salmon & Chickpeas,Adult  ,,$1.29,,"Salmon, Salmon Meal, Peas, Chickpeas, Pea Protein, Canola Oil (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed, Calcium Carbonate, Natural Fish Flavor, Vitamins ("
,,,Core Six Duck & Chickpeas,Adult  ,,$1.16,,"Duck, Duck Meal, Peas, Chickpeas, Pea Protein, Canola Oil (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed, Natural Duck Flavor, Vitamins"
,,,Core Six Lamb & Chickpeas,Adult  ,,$1.25,,"Lamb, Lamb Meal, Peas, Chickpeas, Pea Protein, Canola Oil (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed, Natural Lamb Flavor, Vitamins"
,,,Core Six Salmon & Chickpeas Small Breed,Adult SB,,$1.64,2.33,"Salmon, Salmon Meal, Chickpeas, Peas, Pea Protein, Canola Oil (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed, Calcium Carbonate, Natural Fish Flavor, Vitamins "
,,,Core Grain Free Original,Adult  ,Petsmart,$0.93,,"Deboned Turkey, Turkey Meal (source of Glucosamine), Chicken Meal (source of Chondroitin Sulfate), Peas, Dried Ground Potatoes, Lentils, Chicken Fat (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed,"
,,,Core Grain Free Ocean,Adult  ,,$1.24,,"Whitefish, Herring Meal (source of Glucosamine), Salmon Meal (source of Chondroitin Sulfate), Menhaden Fish Meal, Peas, Lentils, Dried Ground Potatoes, Canola Oil (preserved with Mixed Tocopherols), Ground Flaxseed, Pea Fiber,"
,,,Core Grain Free Wild Game,Adult  ,,$0.00,,"Duck, Lamb Meal (source of Glucosamine), Chicken Meal (source of Chondroitin Sulfate), Chickpeas, Peas, Lentils, Pea Protein, Chicken Fat (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed,"
,,,Core Grain Free Lamb,Adult  ,,$0.00,,"Lamb, Lamb Meal, Pea Protein, Peas, Chickpeas, Tomato Pomace, Ground Flaxseed, Canola Oil (preserved with Mixed Tocopherols), Natural Lamb Flavor, Taurine, Vitamin E Supplement, Choline Chloride, Spinach, Broccoli, Carrots, Parsley,"
,,,Core Grain Free Reduced Fat,Adult  ,,$0.97,,"Deboned Turkey, Turkey Meal (source of Glucosamine), Chicken Meal (source of Chondroitin Sulfate), Lentils, Peas, Dried Ground Potatoes, Pea Fiber, Ground Flaxseed, Tomato Pomace, Chicken Fat (preserved with Mixed Tocopherols),"
,,,Core Grrain Free Small Breed Original,Adult SB,,$0.00,,"Deboned Turkey, Turkey Meal (source of Glucosamine), Chicken Meal (source of Chondroitin Sulfate), Lentils, Peas, Dried Ground Potatoes, Chicken Fat (preserved with Mixed Tocopherols), Tomato Pomace, Ground Flaxseed,"
,,,Core Grain Free Small Breed Healthy Weight,Adult SB,Petsmart,$0.61,,"Deboned Turkey, Turkey Meal, Chicken Meal, Peas, Dried Ground Potatoes, Pea Fiber, Ground Flaxseed, Tomato Pomace, Chicken Fat (preserved with Mixed Tocopherols), Natural Chicken Flavor, Salmon Oil, Choline Chloride,"
,,,Core Grain Free Large Breed,Adult LB,Petsmart,$0.85,,"Deboned Chicken, Chicken Meal (source of Glucosamine), Turkey Meal (source of Chondroitin Sulfate), Lentils, Peas, Dried Ground Potatoes, Tomato Pomace, Ground Flaxseed, Pea Fiber, Chicken Fat (preserved with Mixed Tocopherols),"
,,,Core Grain Free Senior,Senior,,$0.00,,"Deboned Turkey, Chicken Meal, Dried Ground Potatoes, Peas, Turkey Meal, Lentils, Tomato Pomace, Ground Flaxseed, Chicken Fat (preserved with Mixed Tocopherols), Chickpeas, Natural Chicken Flavor, Salmon Oil, Vitamin E Supplement, Choline Chloride, Spinach,"
,,,Zignature,,,,,
,,,Turkey ,,,$0.72,1.7,
,,,Tradition,,,,5.75,
,,,Tradition agri-dog Chicken,,,$0.21,,
,,,Zoë ( Hagen),,,,1,
,,,"Chicken, Quinoa & Black Bean - Small Breed",Adult SB,,$0.62,2.75,
,,,"Chicken, Quinoa & Black Bean - Medium Breed",Adult  ,,$0.51,,
,,,"Chicken, Quinoa & Black Bean - Large Breed",Puppy LB,,$0.44,,
,,,"Turkey, Chickpea & Sweet Potato - Small Breed",Adult SB,,$0.62,,
,,,"Turkey, Chickpea & Sweet Potato - Medium Breed",Adult  ,,$0.51,,
,,,"Turkey, Chickpea & Sweet Potato - Large Breed",Adult LB,,$0.44,,
,,,Turkey with Pumpkin & Russet Potato,Adult  ,,$0.96,,
,,,Beef with Peas & Pumpkin,Adult  ,,$1.05,,
